smiles,log10(TC),PID,filler,vol%,html,id,rid,expt,Egap_trimer,Eiv_trimer,Eav_trimer,alpha_trimer,mu_trimer,density_filler,Egap_filler,modulus_filler,shape_bit1_filler,shape_bit2_filler,temperature,log10(thickness),crystal,disk,film,heat flow,laser flash,linear,plate,sheet,expt_1,expt_2,expt_3,expt_4,expt_5,expt_7,expt_8,expt_9,expt_10,expt_12,expt_14,expt_15,expt_16,expt_19,expt_26,expt_31,expt_32,expt_33,expt_34,expt_35,expt_36,expt_38,expt_40,expt_43,expt_44,expt_49,expt_50,expt_51,expt_52,expt_53,expt_56,expt_57,expt_60,expt_62,expt_65,expt_66
CCC,-0.1674910872937636,P010001,BN,10.089928057553957,2.0,45008-9-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.1549019599857432,P010001,BN,13.453237410071942,2.0,45008-2-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.1426675035687315,P010001,BN,15.0,2.0,47223-13-1-1,47223,5,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,30.0,-2.6989700043360187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.1249387366082999,P010001,Cu,15.0,2.0,15201-6-1-2,15201,1,11.4397,11.4585,-4.5506,33.46,0.0556,9.22,0.0,139,1,1,50.0,-2.3010299956639813,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.1249387366082999,P010001,BN,10.089928057553957,2.0,45008-13-1-5,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.1191864077192086,P010001,BN,9.7,2.0,47223-8-1-1,47223,5,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,30.0,-2.6989700043360187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0969100130080563,P010001,BN,10.089928057553957,2.0,45008-13-1-2,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.0969100130080563,P010001,Cu,10.0,2.0,14370-8-1-1,14370,49,11.4397,11.4585,-4.5506,33.46,0.0556,9.22,0.0,139,1,1,-173.0,-2.494850021680094,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CCC,-0.0969100130080563,P010001,BN,10.089928057553957,2.0,45008-13-1-6,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.0969100130080563,P010001,BN,16.81654676258993,2.0,45008-7-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.0757207139381183,P010001,BN,13.453237410071942,2.0,45008-10-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.0757207139381183,P010001,BN,20.17985611510792,2.0,45008-8-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CCC,-0.0757207139381183,P010001,BN,11.2,2.0,47223-4-1-1,47223,5,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,30.0,-2.6989700043360187,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCC,-0.0655015487564322,P010001,BN,20.17985611510792,2.0,45008-16-1-1,45008,57,11.4397,11.4585,-4.5506,33.46,0.0556,1.96,4.27,103,0,1,25.0,-2.494850021680094,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
